id,categoria,consulta_usuario,respuesta_esperada,sentimiento,requiere_escalacion,contexto_rural
1,productos_financieros,"Hola, quisiera saber sobre los préstamos para agricultores","¡Hola! Me da mucho gusto poder ayudarte. Tenemos préstamos especiales para agricultores con tasas preferenciales del 12% anual. Estos créditos están diseñados para financiar cultivos, compra de semillas, fertilizantes y herramientas agrícolas. ¿Te gustaría conocer más detalles sobre los requisitos?",positivo,no,alto
2,productos_financieros,"¿Qué necesito para abrir una cuenta de ahorros?","Para abrir una cuenta de ahorros necesitas: DNI vigente, recibo de servicios (agua, luz o teléfono) no mayor a 3 meses, y un depósito mínimo de S/. 20. El proceso es muy sencillo y puedes hacerlo en cualquiera de nuestras agencias. ¿Hay algún documento específico sobre el que tengas dudas?",neutral,no,medio
3,productos_financieros,"Necesito un préstamo pequeño para mi tienda, soy de Huancayo","¡Excelente! Tenemos microcréditos perfectos para pequeños negocios como el tuyo. Para comerciantes ofrecemos montos desde S/. 500 hasta S/. 30,000 con plazos flexibles de 6 a 24 meses. Como eres de Huancayo, puedes acercarte a nuestra agencia en el Jr. Real. ¿Qué tipo de productos vendes en tu tienda?",positivo,no,alto
4,productos_financieros,"Tengo una chacra de papas, ¿me pueden prestar para la cosecha?","¡Por supuesto! Tenemos créditos agrícolas específicos para cultivo de papas. Ofrecemos financiamiento para semillas, fertilizantes, pesticidas y mano de obra. Los plazos se ajustan al ciclo de tu cultivo (4-6 meses). La tasa es del 10% anual para productores agrícolas. ¿Cuántas hectáreas cultivas aproximadamente?",positivo,no,alto
5,productos_financieros,"Quiero ahorrar para comprar una moto, ¿qué me recomiendan?","¡Qué buena decisión! Para tu meta de comprar una moto, te recomiendo nuestro ahorro programado. Puedes ahorrar desde S/. 50 mensuales y te damos una tasa de 3.5% anual. Si ahorras S/. 200 mensualmente, en 2 años tendrás suficiente para una moto. También tenemos créditos vehiculares con cuotas cómodas. ¿Prefieres ahorrar primero o financiar la compra?",positivo,no,medio
6,productos_financieros,"¿Dan préstamos para construir casa en el campo?","¡Sí! Tenemos créditos para vivienda rural con condiciones especiales. Financiamos hasta el 80% del valor de construcción, con plazos de hasta 15 años y tasas preferenciales del 9% anual. Aceptamos terrenos rurales como garantía y los requisitos son más flexibles que en la ciudad. ¿Ya tienes el terreno o también necesitas financiamiento para comprarlo?",positivo,no,alto
7,productos_financieros,"¿Qué diferencia hay entre cuenta corriente y de ahorros?","Te explico las principales diferencias: La cuenta de ahorros te genera intereses (3% anual), tiene mantenimiento gratuito y es ideal para guardar dinero. La cuenta corriente no genera intereses, tiene un costo mensual de S/. 8, pero te permite girar cheques y tener sobregiros. Para uso personal, recomiendo la de ahorros. ¿Para qué tipo de movimientos la necesitas?",neutral,no,medio
8,productos_financieros,"¿Tienen seguro para mi cosecha de maíz?","¡Excelente consulta! Sí manejamos seguros agrícolas específicos para cultivos como el maíz. El seguro cubre pérdidas por sequía, heladas, granizada e inundaciones. La prima es del 3% del valor asegurado anualmente. Trabajamos con MAPFRE y La Positiva. Para una hectárea de maíz, el seguro cuesta aproximadamente S/. 120 al año. ¿Cuántas hectáreas quieres asegurar?",positivo,no,alto
9,productos_financieros,"Tengo vacas lecheras, ¿hay créditos para ganaderos?","¡Por supuesto! Tenemos líneas de crédito específicas para ganadería lechera. Financiamos compra de ganado, mejora de establos, equipos de ordeño y alimento para animales. Los plazos van hasta 3 años con tasas del 11% anual. También aceptamos el ganado como garantía. ¿Cuántas vacas tienes actualmente y qué necesitas financiar?",positivo,no,alto
10,productos_financieros,"¿Pueden abrir cuenta para mi hijo de 16 años?","¡Sí! Tenemos cuentas especiales para menores de edad entre 14 y 17 años. Se llama 'Mi Primera Cuenta' y no tiene costo de mantenimiento. Necesita la presencia de un padre o tutor, DNI del menor, y DNI del responsable. La cuenta permite ahorrar y hacer transferencias, pero no puede tener sobregiros. Es perfecta para que aprenda a manejar dinero.",positivo,no,medio
11,productos_financieros,"¿Cómo puedo ahorrar para mi jubilación?","¡Excelente decisión pensar en tu futuro! Tenemos varios productos: Depósito a Plazo Fijo con 4.5% anual, Ahorro Programado con descuento automático, y también manejamos AFP para jubilación privada. Para pensión personal, recomiendo empezar con S/. 100 mensuales desde ahora. Mientras antes empieces, más tendrás al jubilarte. ¿Qué edad tienes actualmente?",positivo,no,medio
12,productos_financieros,"Quiero estudiar una carrera técnica, ¿me pueden ayudar?","¡Qué bueno que quieras estudiar! Tenemos créditos educativos con tasas preferenciales del 8% anual para carreras técnicas. Financiamos hasta el 100% del costo de estudios en institutos reconocidos. Los pagos pueden empezar 6 meses después de terminar la carrera. También trabajamos con becas parciales. ¿Ya tienes el instituto elegido?",positivo,no,medio
13,productos_financieros,"Tengo una bodega, ¿qué servicios me convienen?","¡Perfecto! Para bodegas recomendamos: cuenta corriente para manejar el negocio, POS para recibir tarjetas de crédito (aumenta ventas 30%), crédito capital de trabajo para stock, y depósitos nocturnos para mayor seguridad. También tenemos seguros para local comercial. El paquete completo tiene descuentos especiales. ¿Qué productos vendes principalmente?",positivo,no,medio
14,productos_financieros,"Soy madre soltera, ¿hay créditos especiales para mujeres?","¡Sí! Tenemos el programa 'Mujer Emprendedora' con tasas preferenciales del 9% anual para madres que tienen negocios propios. No necesitas aval si el monto es menor a S/. 10,000. También hay capacitaciones gratuitas en finanzas y negocios. Es parte de nuestro compromiso con el desarrollo de la mujer rural. ¿Qué tipo de negocio tienes o planeas empezar?",positivo,no,alto
15,productos_financieros,"¿Cuánto cobran por mantener la cuenta?","Nuestras cuentas de ahorro no tienen costo de mantenimiento si mantienes un saldo promedio de S/. 200 o haces al menos 3 movimientos al mes. Las cuentas corrientes tienen un costo de S/. 8 mensuales. Para clientes rurales y pensionistas, todas las cuentas son gratuitas. ¿Qué tipo de cuenta te interesa más?",neutral,no,medio
16,productos_financieros,"Quiero comprar una mototaxi para trabajar","¡Excelente idea de negocio! Tenemos créditos vehiculares específicos para mototaxis. Financiamos hasta el 80% del valor, con plazos de hasta 4 años. La cuota mensual para una mototaxi nueva sería aproximadamente S/. 350. También evaluamos mototaxis usadas. El vehículo queda como garantía. ¿Ya tienes licencia de conducir A1?",positivo,no,alto
17,productos_financieros,"¿Puedo ahorrar en dólares?","¡Sí! Manejamos cuentas en dólares americanos para clientes que reciben remesas o tienen ingresos en esa moneda. La cuenta genera 1.5% anual en dólares y puedes hacer depósitos desde $50. También cambiamos moneda al tipo de cambio del día. Es ideal si recibes dinero del extranjero. ¿Recibes ingresos en dólares regularmente?",neutral,no,bajo
18,productos_financieros,"Cultivo productos orgánicos, ¿hay créditos especiales?","¡Qué bueno que cultives orgánicos! Tenemos líneas especiales para agricultura sostenible con tasas preferenciales del 8% anual. Trabajamos con certificadoras orgánicas y compradores directos. También financiamos la certificación orgánica y equipos especializados. Los productos orgánicos tienen mejor precio y mayor demanda. ¿Qué productos cultivas y tienes certificación?",positivo,no,alto
19,productos_financieros,"Hago tejidos y los vendo, ¿hay créditos para artesanos?","¡Qué hermoso oficio! Tenemos créditos especiales para artesanos con tasas del 10% anual. Financiamos materiales, herramientas, stands para ferias y capital de trabajo. También te conectamos con ferias artesanales y compradores. Los montos van desde S/. 300 hasta S/. 15,000. Incluso aceptamos tus productos como garantía parcial. ¿Qué tipo de tejidos haces?",positivo,no,alto
20,productos_financieros,"Tengo botes de pesca, ¿financian equipos pesqueros?","¡Por supuesto! Tenemos líneas de crédito para actividad pesquera artesanal. Financiamos motores, redes, equipos de navegación, conservadoras y reparación de embarcaciones. Los plazos se ajustan a los ciclos de pesca y las tasas son del 11% anual. También manejamos seguros para embarcaciones. ¿Pescas en río, lago o mar?",positivo,no,alto
21,productos_financieros,"Vendo en el mercado, ¿qué servicios me convienen?","¡Perfecto! Para comerciantes de mercado recomendamos: cuenta corriente para el negocio, POS para tarjetas (los clientes compran más), crédito para stock diario, y depósitos nocturnos por seguridad. También tenemos cuentas con comisiones preferenciales para comerciantes. El paquete completo te ahorra S/. 20 mensuales. ¿En qué mercado trabajas?",positivo,no,medio
22,productos_financieros,"Tengo un carro y quiero hacer servicio público","¡Excelente idea de negocio! Para transporte público tenemos créditos vehiculares con condiciones especiales. Financiamos hasta el 80% para vehículos nuevos o seminuevos. También evaluamos la ruta que planeas cubrir para calcular tus ingresos proyectados. Los plazos van hasta 5 años. ¿Ya tienes licencia profesional y el vehículo identificado?",positivo,no,alto
23,productos_financieros,"Quiero ampliar mi casa, ¿dan préstamos para eso?","¡Sí! Tenemos créditos para mejoramiento de vivienda con tasas preferenciales del 9.5% anual. Financiamos ampliaciones, techos, pisos, baños y conexiones de agua y luz. Los montos van hasta S/. 50,000 con plazos de hasta 10 años. Puedes usar tu casa actual como garantía. ¿Ya tienes el presupuesto de la ampliación?",positivo,no,alto
24,productos_financieros,"Somos un grupo de mujeres que queremos crédito grupal","¡Excelente! Los créditos grupales son una de nuestras especialidades. Para grupos de 3 a 8 personas ofrecemos montos desde S/. 500 hasta S/. 3,000 por persona, con aval solidario. La tasa es del 8% anual y no necesitan garantías adicionales. Todas deben vivir en la misma zona. ¿Cuántas son en el grupo y qué actividades van a financiar?",positivo,no,alto
25,productos_financieros,"Quiero instalar paneles solares, ¿me pueden financiar?","¡Qué buena decisión por la energía limpia! Tenemos créditos verdes para energía renovable con tasas preferenciales del 7% anual. Financiamos paneles solares, inversores, baterías e instalación. Los ahorros en luz eléctrica te ayudan a pagar el crédito. También trabajamos con proveedores certificados. ¿Para qué uso necesitas la energía solar?",positivo,no,alto
26,productos_financieros,"Tengo 70 años, ¿me dan crédito para mi negocio?","¡Por supuesto! La edad no es impedimento si tienes un buen proyecto. Para adultos mayores tenemos condiciones especiales: plazos más cortos pero cuotas cómodos, evaluación preferencial, y puedes incluir a un familiar como co-deudor. Muchos de nuestros mejores clientes son adultos mayores con experiencia en negocios. ¿Qué tipo de negocio tienes?",positivo,no,medio
27,productos_financieros,"Tengo plata ahorrada, ¿dónde la invierto?","¡Qué bueno que tengas ahorros! Tenemos varias opciones según tu perfil: Depósitos a Plazo Fijo con 4.5% anual (muy seguro), Fondos Mutuos con mayor rentabilidad pero riesgo moderado, y Cuentas de Alto Rendimiento con 3.8% anual. También invertimos en bonos del gobierno. ¿Por cuánto tiempo puedes dejar el dinero sin tocarlo?",positivo,no,medio
28,productos_financieros,"Vendo quinua al extranjero, ¿me ayudan con exportación?","¡Excelente! Tenemos servicios especializados para exportadores: cartas de crédito, financiamiento pre y post embarque, cuentas en dólares, y asesoría en comercio internacional. También trabajamos con ADEX y PROMPERÚ. Para quinua hay mucha demanda internacional. ¿Ya tienes contactos en el extranjero o necesitas ayuda para encontrar compradores?",positivo,no,alto
29,productos_financieros,"¿Tienen seguro de vida?","¡Sí! Ofrecemos seguros de vida con cobertura desde S/. 10,000 hasta S/. 100,000. Las primas van desde S/. 15 mensuales según tu edad y cobertura. Incluye muerte natural, accidental, invalidez permanente y gastos de sepelio. Para clientes que tienen créditos con nosotros hay descuentos especiales. ¿Para qué monto te gustaría cotizar?",neutral,no,bajo
30,productos_financieros,"Tengo colmenas de abejas, ¿financian apicultura?","¡Excelente actividad! La apicultura es muy rentable y ecológica. Financiamos colmenas, equipos de extracción, ahumadores, trajes protectores y construcción de salas de miel. Los créditos van hasta S/. 20,000 con tasas del 9% anual. También conectamos con compradores de miel orgánica que pagan mejores precios. ¿Cuántas colmenas tienes actualmente?",positivo,no,alto
31,productos_financieros,"Tengo una casa rural para turistas","¡Qué buena idea de negocio! El turismo rural está creciendo mucho. Financiamos mejoras de infraestructura, equipamiento de habitaciones, construcción de baños privados, y marketing digital. También te ayudamos a registrarte formalmente y conectarte con plataformas de reservas. Las tasas son del 10% anual. ¿Ya recibes turistas o es un proyecto nuevo?",positivo,no,alto
32,productos_financieros,"Mi hermano en USA me envía dinero, ¿cómo lo recibo?","Excelente, manejamos remesas internacionales con Western Union y Money Gram. Tu hermano puede enviar desde cualquier agente en USA y tú lo recibes aquí en minutos. Solo necesitas tu DNI y el código de envío. No necesitas tener cuenta con nosotros. La comisión la paga quien envía. ¿Con qué frecuencia recibes remesas?",neutral,no,bajo
33,productos_financieros,"¿Son igual que una cooperativa?","Te explico la diferencia: Somos una institución financiera regulada por la SBS, igual que los bancos grandes, pero especializados en zonas rurales y pequeños negocios. Las cooperativas son organizaciones de sus propios socios. Nosotros ofrecemos los mismos productos que bancos (cuentas, préstamos, tarjetas) pero con enfoque rural y tasas más accesibles.",neutral,no,alto
34,productos_financieros,"Quiero plantar árboles maderables","¡Excelente inversión a largo plazo! Los proyectos forestales tienen gran potencial. Financiamos plantones, preparación de terreno, cercado y mantenimiento inicial. Los plazos van hasta 10 años considerando el ciclo de crecimiento. También trabajamos con programas de reforestación del gobierno que dan bonos adicionales. ¿Qué tipo de árboles quieres plantar y en cuántas hectáreas?",positivo,no,alto
35,productos_financieros,"Pongo una lavandería en mi casa","¡Muy buen negocio! Las lavanderías tienen demanda constante. Financiamos lavadoras industriales, secadoras, equipos de planchado, y acondicionamiento del local. Los montos van desde S/. 5,000 hasta S/. 30,000. También te ayudamos a calcular las tarifas competitivas para tu zona. ¿Ya tienes el espacio acondicionado o necesitas financiar las mejoras también?",positivo,no,medio
36,productos_financieros,"¿Financian cursos técnicos?","¡Por supuesto! La educación es una excelente inversión. Financiamos cursos técnicos, carreras cortas, certificaciones y capacitaciones especializadas. Los montos van hasta S/. 15,000 con tasas preferenciales del 8% anual. Puedes empezar a pagar 3 meses después de terminar el curso. ¿Qué especialidad técnica te interesa estudiar?",positivo,no,medio
37,productos_financieros,"Queremos poner una bodega comunal","¡Excelente proyecto comunitario! Para bodegas comunales tenemos créditos grupales con garantía solidaria. Financiamos el stock inicial, refrigeradoras, estantes, y acondicionamiento del local. La administración puede rotar entre los socios. Los montos van hasta S/. 50,000 para grupos organizados. ¿Cuántas familias participarían en el proyecto?",positivo,no,alto
38,productos_financieros,"¿Financian antenas de internet para el pueblo?","¡Sí! Los proyectos de conectividad rural son muy importantes. Financiamos antenas, equipos de transmisión, instalación y infraestructura para internet comunitario. También trabajamos con programas del MTC y operadores de telecomunicaciones. Pueden organizarse como comité de gestión. ¿Ya tienen un operador interesado o necesitan ayuda para contactar uno?",positivo,no,alto
39,productos_financieros,"Quiero poner una panadería","¡Excelente negocio! Las panaderías tienen clientela fija y buenos márgenes. Financiamos horno industrial, amasadora, mesas de trabajo, vitrina, y stock inicial de insumos. También te conectamos con proveedores mayoristas de harina y otros ingredientes. Los montos van hasta S/. 40,000. ¿Ya tienes experiencia en panadería o necesitas capacitación también?",positivo,no,medio
40,productos_financieros,"Queremos comprar mototaxis entre varios amigos","¡Buena idea asociarse! Para compras grupales de vehículos tenemos créditos solidarios donde cada uno responde por su parte y por los demás. Pueden comprar 3-5 mototaxis con mejor precio por volumen. La garantía es cada vehículo y el aval solidario. ¿Ya identificaron las rutas que cada uno va a cubrir?",positivo,no,alto
41,productos_financieros,"Queremos implementar una biblioteca","¡Qué hermoso proyecto educativo! Para bibliotecas comunitarias tenemos créditos especiales con tasas del 6% anual. Financiamos libros, estantes, mesas, sillas, computadoras e implementación. También conectamos con donaciones de libros y programas educativos del Ministerio de Educación. ¿Ya tienen el local o también necesitan financiar el espacio?",positivo,no,alto
42,productos_financieros,"Queremos hacer turismo ecológico en nuestra comunidad","¡Excelente! El ecoturismo es sostenible y genera ingresos sin dañar el ambiente. Financiamos senderos, miradores, cabañas ecológicas, guías especializados, y promoción turística. También los conectamos con tour operadores responsables. Las tasas son preferenciales al 8% anual para proyectos verdes. ¿Qué atractivos naturales tiene su comunidad?",positivo,no,alto
43,productos_financieros,"Quiero poner cabinas de internet","Las cabinas de internet siguen siendo necesarias en zonas rurales. Financiamos computadoras, equipos de red, mobiliario, software y acondicionamiento del local. También incluimos conexión a internet de alta velocidad. Los montos van hasta S/. 25,000. Muchas cabinas también ofrecen impresiones y servicios digitales. ¿Ya tienes el local identificado?",positivo,no,medio
44,productos_financieros,"Cultivo plantas medicinales","¡Qué interesante! Las plantas medicinales tienen gran demanda y valor agregado. Financiamos cultivo, procesamiento, secado, empaque y certificaciones de calidad. También te conectamos con laboratorios y tiendas naturistas que compran estos productos. Las tasas son del 9% anual. ¿Qué plantas cultivas y ya tienes compradores establecidos?",positivo,no,alto
45,productos_financieros,"Quiero poner un restaurante de comida típica","¡Excelente! Los restaurantes de comida típica tienen mucho potencial, especialmente con el turismo gastronómico. Financiamos equipos de cocina, mesas, sillas, acondicionamiento, y stock inicial. También te ayudamos con permisos municipales y registro en SUNAT. Los montos van hasta S/. 35,000. ¿Qué especialidades de tu región vas a preparar?",positivo,no,alto
46,productos_financieros,"Quiero empezar un negocio de reciclaje","¡Excelente! El reciclaje es un negocio rentable y ayuda al medio ambiente. Financiamos balanzas, equipos de selección, vehículos para recolección, y acondicionamiento de almacén. También te conectamos con empresas que compran materiales reciclados. Los montos van hasta S/. 30,000. ¿Qué tipo de materiales planeas reciclar principalmente?",positivo,no,alto
47,productos_financieros,"Quiero poner una farmacia","Las farmacias son negocios estables con buena rentabilidad. Financiamos equipamiento, stock inicial de medicamentos, refrigeradoras para vacunas, y acondicionamiento según normas DIGEMID. También te ayudamos con los permisos sanitarios necesarios. Los montos van hasta S/. 50,000. ¿Ya tienes el químico farmacéutico responsable identificado?",positivo,no,medio
48,productos_financieros,"Hago ropa y quiero expandir mi taller","¡Qué bueno que quieras crecer! Para talleres de confección financiamos máquinas de coser industriales, overlock, recubridora, cortadoras, y stock de telas. También te conectamos con tiendas y boutiques que pueden vender tu ropa. Los montos van hasta S/. 25,000. ¿Qué tipo de prendas confeccionas principalmente?",positivo,no,medio
49,productos_financieros,"Quiero distribuir gas doméstico","La distribución de gas doméstico es un buen negocio con demanda constante. Financiamos camioneta adaptada, balones de gas, balanza, y permisos necesarios. También trabajamos con proveedores mayoristas de gas. Los montos van hasta S/. 40,000. Necesitas cumplir normas de seguridad estrictas. ¿Ya tienes experiencia en manejo de gas?",positivo,no,medio
